Simulation_Potential,Z,Density,PMF
-0.2,-74.0,0.004117428919872616,1.9914473184047468
-0.2,-72.0,0.003991268145168998,2.0106274938044617
-0.2,-70.0,0.0037236543806461724,2.0534030250714395
-0.2,-68.0,0.004121251973651513,1.9908753171092914
-0.2,-66.0,0.004044790898073563,2.00241744003229
-0.2,-64.0,0.004281820232365209,1.9673183853514542
-0.2,-62.0,0.0040677292207469485,1.9989320508101194
-0.2,-60.0,0.004094490597199231,1.9948905192684243
-0.2,-58.0,0.004247412748355131,1.972291054338253
-0.2,-56.0,0.004132721134988206,1.989162491500344
-0.2,-54.0,0.004358281307943159,1.956409581074767
-0.2,-52.0,0.004304758555038594,1.964025422834465
-0.2,-50.0,0.004461503759973392,1.9419824407728663
-0.2,-48.0,0.004545610943109137,1.930471673489491
-0.2,-46.0,0.005417267204697768,1.8223490694054314
-0.2,-44.0,0.006384499810758838,1.7210971283265863
-0.2,-42.0,0.00757729258977486,1.6155301628518985
-0.2,-40.0,0.011178609249496313,1.3758721167831782
-0.2,-38.0,0.016347377958565744,1.1416258634965282
-0.2,-36.0,0.017968352760818287,1.0833551144378302
-0.2,-34.0,0.021512323613856275,0.9724068845819882
-0.2,-32.0,0.029502506011752066,0.7777390912569062
-0.2,-30.0,0.05647415042187399,0.3775503314044435
-0.2,-28.0,0.08404983732906171,0.13248040321133803
-0.2,-26.0,0.08983794075031254,0.09143429795095792
-0.2,-24.0,0.09564898249423674,0.05280408540073811
-0.2,-22.0,0.10420497685140936,0.0
-0.2,-20.0,0.08721914891176774,0.10966752690596993
-0.2,-18.0,0.04190449247049558,0.5614574303199502
-0.2,-16.0,0.05496404417920947,0.39425524665159806
-0.2,-14.0,0.03400988641707223,0.6901115341729331
-0.2,-12.0,0.010039339223384855,1.4421220458823594
-0.2,-10.0,0.004675594771591652,1.913094680061089
-0.2,-8.0,0.0019918110188056016,2.4390176762647373
-0.2,-6.0,0.0013954146292975904,2.6583408445409242
-0.2,-4.0,0.00121190804791051,2.745240840752377
-0.2,-2.0,0.000745495486885014,3.0447176098692896
-0.2,0.0,0.0004014206467842383,3.4262508818889774
-0.2,2.0,0.00047023561480439343,3.328732466896943
-0.2,4.0,0.002741129559469513,2.2422071750562864
-0.2,6.0,0.012356109813396745,1.3141473955401042
-0.2,8.0,0.0009251790144931968,2.9116281471714673
-0.2,10.0,0.00020644490406046542,3.836096625874551
-0.2,12.0,0.00021791406539715795,3.8027733023109747
-0.2,14.0,0.00016439131249259284,3.976487003864275
-0.2,16.0,0.0005161122601511635,3.2713579206262553
-0.2,18.0,0.0010169323051867371,2.853348728135394
-0.2,20.0,0.001468052651096643,2.627064987450055
-0.2,22.0,0.0024085238807054297,2.321933346450675
-0.2,24.0,0.004148013350103796,1.9868861034956968
-0.2,26.0,0.005459320796265641,1.8175830387188137
-0.2,28.0,0.008188981194398462,1.5676821806057866
-0.2,30.0,0.008215742570850745,1.5656713098118396
-0.2,32.0,0.007600230912448246,1.6136671951313637
-0.2,34.0,0.007309678825252035,1.6376913558440382
-0.2,36.0,0.005952494733743419,1.7642789876098186
-0.2,38.0,0.005245229784647381,1.8422395806730856
-0.2,40.0,0.006132178261351602,1.7459495295188752
-0.2,42.0,0.00717969499676952,1.648749840345842
-0.2,44.0,0.006927373447362284,1.6707998175084142
-0.2,46.0,0.005455497742486743,1.8180147944994227
-0.2,48.0,0.004721471416938422,1.907076750867412
-0.2,50.0,0.004255058855912926,1.9711825444142261
-0.2,52.0,0.00378864629488743,2.0427385015145356
-0.2,54.0,0.0040294986829579734,2.0047520312767775
-0.2,56.0,0.003876576531802073,2.0285976108092907
-0.2,58.0,0.0038842226393598677,2.027383164403317
-0.2,60.0,0.004010383414063486,2.007682761247989
-0.2,62.0,0.003800115456224123,2.0408755337940017
-0.2,64.0,0.003949214553601125,2.017155859962883
-0.2,66.0,0.004098313650978128,1.9943153149787831
-0.2,68.0,0.0039874450913901,2.0112181324233234
-0.2,70.0,0.004040967844294666,2.0030002593207463
-0.2,72.0,0.004021852575400178,2.005922651479814
-0.2,74.0,0.004075375328304744,1.9977746207016753
0.2,-74.0,0.004393209451709108,1.97564280539362
0.2,-72.0,0.004286151257933777,1.9908482266635765
0.2,-70.0,0.004484973617802248,1.9629016518881905
0.2,-68.0,0.004454385562437868,1.9671195048018832
0.2,-66.0,0.004534679207769366,1.9561086135828707
0.2,-64.0,0.004614972853100864,1.945290986629546
0.2,-62.0,0.004244092681807754,1.9969259494842393
0.2,-60.0,0.004748795595320028,1.9276731294300449
0.2,-58.0,0.0044658560831995105,1.9655344254414286
0.2,-56.0,0.0046570314292268865,1.939699488594278
0.2,-54.0,0.004813795212969336,1.9192942455051676
0.2,-52.0,0.004890265351380286,1.9095803903481423
0.2,-50.0,0.005245851494991206,1.8663194723132066
0.2,-48.0,0.005536438020952818,1.83309072886976
0.2,-46.0,0.006094670031352757,1.7738839137194966
0.2,-44.0,0.006786724783971859,1.7075951085635022
0.2,-42.0,0.00834671560755525,1.5800763647702905
0.2,-40.0,0.010384644796207081,1.4454325362614528
0.2,-38.0,0.015072264280798348,1.2158318511023474
0.2,-36.0,0.0207884071270169,1.017657143228504
0.2,-34.0,0.025013382274221917,0.9036262956200929
0.2,-32.0,0.031540108587596545,0.7607304561767152
0.2,-30.0,0.05330733348627361,0.43727120435761613
0.2,-28.0,0.06883841859753766,0.27968261926284854
0.2,-26.0,0.07157222604572915,0.25567953598327553
0.2,-24.0,0.10349468532538043,0.028368417933289702
0.2,-22.0,0.10836965664907854,0.0
0.2,-20.0,0.07535367439015064,0.22394735032928503
0.2,-18.0,0.049277357192016515,0.4857205319027642
0.2,-16.0,0.03927123958094364,0.6256106490319071
0.2,-14.0,0.028691595931788636,0.8190697743302979
0.2,-12.0,0.010484055976141316,1.439560518542235
0.2,-10.0,0.0005544085034793913,3.251395412410254
0.2,-8.0,0.00028676301904106445,3.657709161906773
0.2,-6.0,0.0001758813183451862,3.9590007197570385
0.2,-4.0,9.941117993423568e-05,4.31064540353337
0.2,-2.0,0.0002370574290739466,3.77503013267272
0.2,0.0,0.0005276439550355586,3.2818915229813745
0.2,2.0,0.0003479391297698249,3.5385283099074014
0.2,4.0,0.00019499885294792384,3.8954050399728173
0.2,6.0,0.00017205781142463867,3.9725470090420414
0.2,8.0,0.00015676378374244857,4.029921555312728
0.2,10.0,0.00032499808824653975,3.580567192837549
0.2,12.0,0.0003899977058958477,3.4681967013101795
0.2,14.0,0.0005658790242410339,3.238773851508199
0.2,16.0,0.0014911676990135353,2.641589162846774
0.2,18.0,0.0026879253651449107,2.2784404730559316
0.2,20.0,0.003639978588361245,2.0915637884719622
0.2,22.0,0.0051655578496597075,1.875826056956949
0.2,24.0,0.007260839642119752,1.6659760958959398
0.2,26.0,0.009864647855012617,1.4770939774925238
0.2,28.0,0.012353750860289057,1.3384180132692038
0.2,30.0,0.014399327062781984,1.2439826490672368
0.2,32.0,0.01460579643649155,1.2352079443085673
0.2,34.0,0.014269327827483368,1.2495722488497405
0.2,36.0,0.008912594631796283,1.5396467029935383
0.2,38.0,0.006947312074634855,1.693181357697418
0.2,40.0,0.008178481303051158,1.5926258864750666
0.2,42.0,0.010889347709719355,1.4161834325258598
0.2,44.0,0.007968188422421045,1.6086808905795835
0.2,46.0,0.00618261069052535,1.7650543506363858
0.2,48.0,0.004962911982870689,1.9004919092634434
0.2,50.0,0.004779383650684408,1.923715932197934
0.2,52.0,0.004802324692207693,1.9207646192083945
0.2,54.0,0.004431444520914583,1.970301945702046
0.2,56.0,0.004607325839259769,1.9463130952412682
0.2,58.0,0.004473503097040606,1.9644799660711096
0.2,60.0,0.004209681119522826,2.001943600141512
0.2,62.0,0.004320562820218705,1.9859197400154698
0.2,64.0,0.004519385180087176,1.9581908160755095
0.2,66.0,0.004397032958629655,1.9751066319351729
0.2,68.0,0.004312915806377609,1.9870115584615156
0.2,70.0,0.004527032193928271,1.9571488355202868
0.2,72.0,0.004370268410185822,1.9788696784800224
0.2,74.0,0.004377915424026917,1.9777921758426205
